pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
GJ 667 C e,e,,Gaia DR2 5975663354131618304,3.0,5.0,0.0,Radial Velocity,2013.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 667 C f,f,,Gaia DR2 5975663354131618304,3.0,5.0,0.0,Radial Velocity,2013.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 667 C g,g,,Gaia DR2 5975663354131618304,3.0,5.0,0.0,Radial Velocity,2013.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 674 b,b,,Gaia DR2 5951824121022278144,1.0,1.0,0.0,Radial Velocity,2007.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 676 A b,b,,Gaia DR2 5925209583053212800,2.0,4.0,0.0,Radial Velocity,2010.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 676 A c,c,,Gaia DR2 5925209583053212800,2.0,4.0,0.0,Radial Velocity,2016.0,Ground,Paranal Observatory,Very Large Telescope (Antu),
GJ 676 A d,d,,Gaia DR2 5925209583053212800,2.0,4.0,0.0,Radial Velocity,2012.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 676 A e,e,,Gaia DR2 5925209583053212800,2.0,4.0,0.0,Radial Velocity,2012.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 680 b,b,,Gaia DR2 5946986063684477056,1.0,1.0,0.0,Radial Velocity,2022.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 682 b,b,,Gaia DR2 5955305209191546112,1.0,2.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 682 c,c,,Gaia DR2 5955305209191546112,1.0,2.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 685 b,b,,Gaia DR2 1439069444391326208,1.0,1.0,0.0,Radial Velocity,2019.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
