pl_name,hostname,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_dens,pl_orbeccen,pl_eqt,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,st_rad,st_age,st_dens,lightyears,planet Type
Kepler-398 d,Kepler-398,d,,Gaia DR2 2053457644144430848,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,6.83437001,,0.88,0.079,,,,,2.1537,,0.01174,,0.67,2.34,,578,Terrestrial
Kepler-399 d,Kepler-399,d,,Gaia DR2 2075060264503601280,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,58.034616,0.2838,3.21,,,,0.0,486.0,5.584,81.4,0.02552,,1.15,,3.03,2415,Super Earth
Kepler-401 d,Kepler-401,d,,Gaia DR2 2133178765503484160,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,184.256405,,,,,,,,,,,,1.7,,0.3327,3149,Neptune-Like
Kepler-402 d,Kepler-402,d,,Gaia DR2 2102954187290293120,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,8.921099,0.0879,1.26,,,,0.0,1070.0,3.922,17.49,0.0095,,1.22,,1.2716,2040,Super Earth
Kepler-403 d,Kepler-403,d,,Gaia DR2 2127815657021840128,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,13.61159129,,,,,,,,,,,,1.87,,0.2469,2741,Super Earth
Kepler-411 d,Kepler-411,d,,Gaia DR2 2132768952604988672,2,4,0,Transit,2018,Space,Kepler,0.95 m Kepler Telescope,58.02035,0.2757,3.51,,,,0.0,367.0,5.669,37.4,0.0419,,0.77,,0.2944,501,Neptune-Like
Kepler-416 d,Kepler-416,d,,Gaia DR2 2052975370856687744,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,3.07644709,0.0414,1.68,,,,0.0,1343.0,2.5743,9.21,0.01434,,1.07,,1.5617,2353,Super Earth
Kepler-42 d,Kepler-42,d,,Gaia DR2 2126556132093765888,1,3,0,Transit,2011,Space,Kepler,0.95 m Kepler Telescope,1.865169,0.0151,0.66,,,,0.0,455.0,0.4279,22.8,0.04072,,0.15,,64.0474,131,Terrestrial
Kepler-431 d,Kepler-431,d,,Gaia DR2 2116862833283266432,1,3,0,Transit,2015,Space,Kepler,0.95 m Kepler Telescope,11.922,0.1054,1.22,,,,0.0,1109.0,4.932,18.28,0.00662,,1.68,,0.8134,1587,Super Earth
Kepler-444 d,Kepler-444,d,,Gaia DR2 2101486923385239808,3,5,0,Transit,2015,Space,Kepler,0.95 m Kepler Telescope,6.189392,,0.5,0.045,0.2,7.9,,,,,,,,,,119,Terrestrial
Kepler-445 d,Kepler-445,d,,Gaia DR2 2085482775729637376,1,3,0,Transit,2015,Space,Kepler,0.95 m Kepler Telescope,8.15275,,,,,,,,,,,,0.3,,14.3926,415,Super Earth
Kepler-446 d,Kepler-446,d,,Gaia DR2 2106929849536047744,1,3,0,Transit,2015,Space,Kepler,0.95 m Kepler Telescope,5.148921,0.0455,2.44,,,,0.0,489.0,0.9441,43.43,0.04848,,0.46,,58.4665,314,Super Earth
Kepler-450 d,Kepler-450,d,,Gaia DR2 2135590578620605568,1,3,0,Transit,2015,Space,Kepler,0.95 m Kepler Telescope,7.51464,,0.941,0.084,17.6,,,,,10.859,,,1.6,,,1487,Super Earth
Kepler-451 d,2MASS J19383260+4603591,d,,Gaia DR2 2080063931448749824,2,3,0,Eclipse Timing Variations,2022,Space,Multiple Observatories,Multiple Telescopes,43.0,,,,,,0.0,,,,,,0.2,,,1293,Gas Giant
Kepler-454 d,Kepler-454,d,,Gaia DR2 2099541715513813504,2,3,0,Radial Velocity,2023,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,4073.0,5.1,,,,,0.089,,,,,,1.07,5.25,,753,Gas Giant
Kepler-457 d,KOI-7892,d,,Gaia DR2 2105414310196331264,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,10.6906004,,,,,,,,,,,,1.26,,0.8182,3497,Neptune-Like
Kepler-46 d,Kepler-46,d,,Gaia DR2 2102700131386216576,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,6.766589,0.0672,2.17,,,,0.0,845.0,2.9869,14.46,0.02133,,0.93,,1.249,2534,Super Earth
Kepler-47 d,Kepler-47,d,,Gaia DR2 2080506523540902912,2,3,0,Transit,2019,Space,Kepler,0.95 m Kepler Telescope,187.366,0.6992,7.04,0.628,19.02,0.3,0.024,,,,0.06873,,0.94,,1.65,3343,Neptune-Like
Kepler-48 d,Kepler-48,d,,Gaia DR2 2075112109039378688,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,42.8961,0.2279,2.0,,,,0.0,448.0,5.6897,58.81,0.02097,,0.87,,2.0905,1000,Super Earth
Kepler-487 d,Kepler-487,d,,Gaia DR2 2076692386427776768,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,2.41839004,0.0341,2.79,,,,0.0,1270.0,2.2361,4.37,0.02932,,0.87,,0.2705,2845,Neptune-Like
Kepler-49 d,Kepler-49,d,,Gaia DR2 2053523271244105216,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,2.576549,,,,,,,,1.9083,,,,0.67,,2.9755,1015,Super Earth
Kepler-51 d,Kepler-51,d,,Gaia DR2 2135275362382289280,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,130.194,0.51,10.0,,,,0.0,361.0,8.4192,129.4,0.09717,,0.94,0.3,,2556,Neptune-Like
Kepler-52 d,Kepler-52,d,,Gaia DR2 2133589776693414016,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,36.445171,0.1774,1.8,,,,0.0,300.0,3.9133,72.95,0.03051,,0.54,,5.5289,1049,Super Earth
Kepler-529 d,Kepler-529,d,,Gaia DR2 2131505514964760832,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,35.86619949,0.222,1.78,,,,0.0,601.0,6.9928,28.2,0.01561,,1.04,0.2,,2606,Neptune-Like
Kepler-53 d,Kepler-53,d,,Gaia DR2 2101188990094347648,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,9.751962,0.091,2.1,,,,0.0,875.0,4.0291,14.4,0.01987,,0.97,0.3,,4455,Neptune-Like
Kepler-54 d,Kepler-54,d,,Gaia DR2 2077974687557384704,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,20.995694,,1.36,0.121,,,,,2.8099,,0.02696,,0.46,4.17,,886,Super Earth
Kepler-549 d,Kepler-549,d,,Gaia DR2 2107622335702262400,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,24.61480613,,,,,,,,,,,,0.85,,2.09,2072,Neptune-Like
Kepler-55 d,Kepler-55,d,,Gaia DR2 2105930840143687680,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,2.211099,0.0287,1.64,,,,0.0,952.0,1.746,9.819,0.02286,,0.66,,3.6635,1888,Super Earth
Kepler-56 d,Kepler-56,d,,Gaia DR2 2077617930392844800,1,3,0,Radial Velocity,2016,Ground,Multiple Observatories,Multiple Telescopes,1002.0,2.16,,,,,0.2,,,,,,4.22,,,2978,Gas Giant
Kepler-58 d,Kepler-58,d,,Gaia DR2 2073274618947678464,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,40.101371,0.232,2.7,,,,0.0,581.0,5.5417,33.0,0.0226,,1.09,4.0,,3161,Neptune-Like
Kepler-60 d,Kepler-60,d,,Gaia DR2 2102316985943863424,1,3,0,Transit,2012,Space,Kepler,0.95 m Kepler Telescope,11.8981,,1.99,0.178,4.16,2.91,,,,,,,1.26,,,3343,Neptune-Like
Kepler-603 d,Kepler-603,d,,Gaia DR2 2077556465126659456,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,6.2171292,,,,,,,,,,,,1.54,,0.4044,5021,Super Earth
Kepler-616 d,Kepler-616,d,,Gaia DR2 2080484842545877120,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,51.06740189,0.2749,2.62,,,,0.0,499.0,4.407,80.8,0.02457,,0.98,,3.8324,3085,Neptune-Like
Kepler-618 d,Kepler-619,d,,Gaia DR2 2129503235571760128,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,11.67894236,,,,,,,,1.5439,,,,0.94,,1.7472,2938,Neptune-Like
Kepler-62 d,Kepler-62,d,,Gaia DR2 2107001283431633408,1,5,0,Transit,2013,Space,Kepler,0.95 m Kepler Telescope,18.16406,,2.122,0.189,,,,,,,,,0.71,,,981,Neptune-Like
Kepler-65 d,Kepler-65,d,,Gaia DR2 2102119176929154304,1,4,0,Transit,2012,Space,Kepler,0.95 m Kepler Telescope,8.13123,,1.506,0.134,,,0.1,,,,,,1.51,,0.4786,991,Super Earth
Kepler-68 d,Kepler-68,d,,Gaia DR2 2129550445852902656,2,4,0,Radial Velocity,2013,Ground,W. M. Keck Observatory,10 m Keck I Telescope,632.62,,,,,,0.112,,,,,,1.26,,0.7511,470,Gas Giant
Kepler-758 d,Kepler-758,d,,Gaia DR2 2053552270863859712,1,4,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,20.4966197,,2.12,0.189,,,,,6.38,,0.01362,,1.42,3.8,,4900,Neptune-Like
Kepler-763 d,Kepler-763,d,,Gaia DR2 2128369501647063808,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,6.50327035,0.0654,1.58,,,,0.0,808.0,2.608,19.4,0.01823,,0.79,,3.268,3139,Super Earth
Kepler-770 d,Kepler-770,d,,Gaia DR2 2099980386293545216,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,4.15244722,0.0474,1.14,,,,0.0,969.0,2.5916,12.366,0.01392,,0.75,,2.0745,3035,Super Earth
Kepler-79 d,Kepler-79,d,,Gaia DR2 2076085318570299136,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,52.0902,0.2807,5.7,,,,0.0,542.0,8.6329,48.4089,0.0503,,1.04,,0.7909,3329,Neptune-Like
Kepler-80 d,Kepler-80,d,,Gaia DR2 2076328963475704576,1,6,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,3.07222,0.0347,1.34,,,,0.0,722.0,1.9974,9.24,0.02153,,0.57,,1.5814,1205,Super Earth
Kepler-81 d,Kepler-81,d,,Gaia DR2 2077816087307845248,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,20.837846,0.128,1.39,,,,0.0,427.0,2.6086,26.9,0.0215,,0.59,6.8,,1135,Super Earth
Kepler-82 d,Kepler-82,d,,Gaia DR2 2125850623586710400,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,2.382961,,,,,,,,,,,,0.96,,1.4724,2949,Super Earth
Kepler-83 d,Kepler-83,d,,Gaia DR2 2105261134483173632,2,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,5.169796,0.0477,1.81,,,,0.0,567.0,2.1723,17.02,0.03185,,0.52,,3.4918,1306,Super Earth
Kepler-84 d,Kepler-84,d,,Gaia DR2 2073776859551124992,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,4.224537,0.0512,1.3,,,,0.0,1188.0,3.028,10.448,0.0116,,1.02,,1.2089,3339,Super Earth
Kepler-85 d,Kepler-85,d,,Gaia DR2 2127398083121764736,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,17.91323,,1.386,0.124,,,,,,,,,0.87,,,2495,Super Earth
Kepler-88 d,KOI-142,d,,Gaia DR2 2101507367429089664,1,3,0,Radial Velocity,2020,Ground,W. M. Keck Observatory,10 m Keck I Telescope,1403.0,,,,,,0.41,,,,,,0.9,,,1229,Gas Giant
Kepler-9 d,Kepler-9,d,,Gaia DR2 2099925719951103872,1,3,0,Transit,2010,Space,Kepler,0.95 m Kepler Telescope,1.592851,,,,,,,,,,,,1.05,,1.253,2049,Super Earth
Kepler-92 d,Kepler-92,d,,Gaia DR2 2102224661326132864,1,3,0,Transit,2015,Space,Kepler,0.95 m Kepler Telescope,49.3568,,2.03,0.181,,,,,,,,,1.78,,,1559,Super Earth
L 98-59 d,L 98-59,d,,Gaia DR2 5271055243163629056,1,4,0,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.450729,0.0486,1.521,0.136,1.94,2.95,0.074,416.0,0.84,33.7,0.0448,,0.3,0.8,12.8999,35,Super Earth
LP 791-18 d,LP 791-18,d,,Gaia DR2 3562427951852172288,1,3,0,Transit,2023,Space,Spitzer Space Telescope,0.85 m Spitzer Space Telescope,2.753436,0.01992,1.032,0.092,0.9,,0.0015,396.0,0.9152,,0.05192,,0.18,0.5,32.5106,86,Super Earth
NN Ser d,NN Ser,d,,Gaia DR2 1191504471436192512,2,2,0,Eclipse Timing Variations,2010,Ground,Multiple Observatories,Multiple Telescopes,2883.5,3.43,,,731.0,,0.19,,,,,,,,,1682,Gas Giant
PSR B1257+12 d,PSR B1257+12,d,,,1,3,0,Pulsar Timing,1992,Ground,Arecibo Observatory,305 m Arecibo Radio Telescope,98.2114,0.47,,,,,0.02,,,,,,,0.8,,1957,Super Earth
TOI-1136 d,TOI-1136,d,,Gaia DR2 1677343097418015488,1,6,0,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,12.51937,,5.589,0.499,,,,1393.0,5.38,,,,0.98,,,276,Neptune-Like
TOI-1246 d,TOI-1246,d,,Gaia DR2 1650110904522335744,1,4,0,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,18.6559,0.131,3.51,0.313,5.3,0.7,,586.0,,35.7,0.036,,0.86,,,553,Neptune-Like
TOI-125 d,TOI-125,d,,Gaia DR2 4698692744355471616,1,3,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,19.98,0.137,2.93,0.261,13.6,2.98,0.168,638.0,3.1128,34.77,0.0317,,0.85,6.8,1.99,362,Neptune-Like
TOI-1260 d,TOI-1260,d,,Gaia DR2 1053809778428567680,1,3,0,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,16.608164,,3.832,0.342,,,,323.0,3.8714976,,,,0.69,,,240,Neptune-Like
TOI-1749 d,TOI-1749,d,,Gaia DR2 2253774094189458432,1,3,0,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,9.0497,0.0707,2.52,0.225,15.0,,0.062,533.0,,,0.0421,,0.55,0.8,5.02,325,Neptune-Like
TOI-178 d,TOI-178,d,,Gaia DR2 2318295979126499200,1,6,0,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,6.5577,0.0592,2.572,0.229,3.01,0.976,,690.0,2.346,19.57,0.03623,,0.65,7.1,3.31,204,Neptune-Like
TOI-2076 d,TOI-2076,d,,Gaia DR2 1490845584382687232,1,3,0,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,35.12537,0.1539,3.232,0.288,,,,530.0,3.046,,0.03848,,0.77,0.34,,137,Neptune-Like
TOI-270 d,TOI-270,d,,Gaia DR2 4781196115469953024,1,3,0,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,11.379573,0.0733,2.13,0.19,,,0.0,340.0,2.148,41.56,0.05143,,0.38,,10.5,73,Neptune-Like
TOI-4010 d,TOI-4010,d,,Gaia DR2 525352325110310400,1,4,0,Transit,2023,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,14.70886,0.113,6.18,0.551,38.15,0.9,0.07,650.0,3.6,,0.068,,0.83,6.1,,579,Gas Giant
TOI-431 d,TOI-431,d,,Gaia DR2 2908664557091200768,1,3,0,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,12.46103,,3.281,0.293,,,,589.0,3.3195777,,,,0.73,,,106,Neptune-Like
TOI-451 d,TOI-451,d,,Gaia DR2 4844691297067063424,2,3,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,16.364988,,3.925,0.35,,,,634.0,4.0478302,,,,0.86,,,404,Neptune-Like
TOI-500 d,TOI-500,d,,Gaia DR2 5509620021956148736,1,4,0,Radial Velocity,2022,Ground,La Silla Observatory,3.6 m ESO Telescope,26.233,,,,,,0.016,,,,,,0.68,5.0,,155,Neptune-Like
TOI-561 d,TOI-561,d,,Gaia DR2 3850421005290172416,1,4,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,25.7124,0.159,2.82,0.252,12.15,2.81,,,,,,,0.83,10.0,1.95,280,Super Earth
TOI-700 d,TOI-700,d,,Gaia DR2 5284517766615492736,1,4,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,37.42396,0.1633,1.144,0.102,,,0.111,269.0,3.3216,82.9,0.02476,,0.42,,7.68,102,Super Earth
TOI-712 d,TOI-712,d,,Gaia DR2 5284358990266469760,1,3,0,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,84.8396,0.3405,2.474,0.221,,,0.073,314.0,5.702,,0.03362,,0.67,0.83,3.36,191,Neptune-Like
TRAPPIST-1 d,TRAPPIST-1,d,,Gaia DR2 2635476908753563008,1,7,0,Transit,2016,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,4.049219,0.02226,,,,,,286.0,0.8228,38.85,,,0.12,,67.6435,41,Terrestrial
V1298 Tau d,V1298 Tau,d,,Gaia DR2 51886335968692480,3,4,0,Transit,2019,Space,K2,0.95 m Kepler Telescope,12.4032,,6.13,0.55,,,,,5.59,,0.0409,,1.33,,,353,Gas Giant
WASP-47 d,WASP-47,d,,Gaia DR2 2613413008919918976,1,4,0,Transit,2015,Space,K2,0.95 m Kepler Telescope,9.03055,0.088,3.71,0.331,16.8,1.8,0.006,,,16.327,0.02931,,1.16,6.5,0.999,864,Neptune-Like
Wolf 1061 d,Wolf 1061,d,,Gaia DR2 4330690742322011520,1,3,0,Radial Velocity,2015,Ground,La Silla Observatory,3.6 m ESO Telescope,217.21,0.2039,,,,,0.32,,,,,,,,,14,Neptune-Like
YZ Cet d,YZ Cet,d,,Gaia DR2 2358524597030794112,1,3,0,Radial Velocity,2017,Ground,La Silla Observatory,3.6 m ESO Telescope,4.65626,0.0276,,,,,0.02,,,,,,0.17,,,12,Super Earth
pi Men d,HD 39091,d,HD 39091,Gaia DR2 4623036865373793408,1,3,0,Radial Velocity,2022,Ground,La Silla Observatory,3.6 m ESO Telescope,124.64,,,,,,0.22,,,,,,1.19,3.92,,60,Neptune-Like
rho CrB d,rho CrB,d,HD 143761,Gaia DR2 1323427759184545536,1,4,0,Radial Velocity,2023,Ground,Lowell Observatory,4.3 m Lowell Discovery Telescope,282.2,0.827,,,,,0.0,,,,,,1.34,10.2,,57,Neptune-Like
ups And d,ups And,d,HD 9826,Gaia DR2 348020448377061376,2,3,0,Radial Velocity,1999,Ground,Multiple Observatories,Multiple Telescopes,1276.46,2.517,,,,,0.294,,,,,,1.62,,,44,Gas Giant
